wheel,name,specifier,url,extras,marker
black-23.7.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,aiohttp,>=3.7.4,,[],"extra == ""d"""
black-23.7.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,click,>=8.0.0,,[],
black-23.7.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,colorama,>=0.4.3,,[],"extra == ""colorama"""
black-23.7.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,ipython,>=7.8.0,,[],"extra == ""jupyter"""
black-23.7.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,mypy-extensions,>=0.4.3,,[],
black-23.7.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,packaging,>=22.0,,[],
black-23.7.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,pathspec,>=0.9.0,,[],
black-23.7.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,platformdirs,>=2,,[],
black-23.7.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,tokenize-rt,>=3.2.0,,[],"extra == ""jupyter"""
black-23.7.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,tomli,>=1.1.0,,[],"python_version < ""3.11"""
black-23.7.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,typing-extensions,>=3.10.0.0,,[],"python_version < ""3.10"""
black-23.7.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,uvloop,>=0.15.2,,[],"extra == ""uvloop"""
codespell-2.2.5-py3-none-any.whl,Pygments,,,[],"extra == ""dev"""
codespell-2.2.5-py3-none-any.whl,build,,,[],"extra == ""dev"""
codespell-2.2.5-py3-none-any.whl,chardet,,,[],"extra == ""dev"""
codespell-2.2.5-py3-none-any.whl,chardet,,,[],"extra == ""hard-encoding-detection"""
codespell-2.2.5-py3-none-any.whl,chardet,>=5.1.0,,[],"extra == ""types"""
codespell-2.2.5-py3-none-any.whl,mypy,,,[],"extra == ""types"""
codespell-2.2.5-py3-none-any.whl,pytest,,,[],"extra == ""dev"""
codespell-2.2.5-py3-none-any.whl,pytest,,,[],"extra == ""types"""
codespell-2.2.5-py3-none-any.whl,pytest-cov,,,[],"extra == ""dev"""
codespell-2.2.5-py3-none-any.whl,pytest-cov,,,[],"extra == ""types"""
codespell-2.2.5-py3-none-any.whl,pytest-dependency,,,[],"extra == ""dev"""
codespell-2.2.5-py3-none-any.whl,pytest-dependency,,,[],"extra == ""types"""
codespell-2.2.5-py3-none-any.whl,ruff,,,[],"extra == ""dev"""
codespell-2.2.5-py3-none-any.whl,tomli,,,[],"extra == ""dev"""
codespell-2.2.5-py3-none-any.whl,tomli,,,[],"python_version < ""3.11"" and extra == ""toml"""
cookiecutter-2.3.0-py3-none-any.whl,Jinja2,"<4.0.0,>=2.7",,[],
cookiecutter-2.3.0-py3-none-any.whl,arrow,,,[],
cookiecutter-2.3.0-py3-none-any.whl,binaryornot,>=0.4.4,,[],
cookiecutter-2.3.0-py3-none-any.whl,click,"<9.0.0,>=7.0",,[],
cookiecutter-2.3.0-py3-none-any.whl,python-slugify,>=4.0.0,,[],
cookiecutter-2.3.0-py3-none-any.whl,pyyaml,>=5.3.1,,[],
cookiecutter-2.3.0-py3-none-any.whl,requests,>=2.23.0,,[],
cookiecutter-2.3.0-py3-none-any.whl,rich,,,[],
copier-8.3.0-py3-none-any.whl,colorama,>=0.4.3,,[],
copier-8.3.0-py3-none-any.whl,decorator,>=5.1.1,,[],
copier-8.3.0-py3-none-any.whl,dunamai,>=1.7.0,,[],
copier-8.3.0-py3-none-any.whl,funcy,>=1.17,,[],
copier-8.3.0-py3-none-any.whl,jinja2,>=3.1.1,,[],
copier-8.3.0-py3-none-any.whl,jinja2-ansible-filters,>=1.3.1,,[],
copier-8.3.0-py3-none-any.whl,packaging,>=23.0,,[],
copier-8.3.0-py3-none-any.whl,pathspec,>=0.9.0,,[],
copier-8.3.0-py3-none-any.whl,plumbum,>=1.6.9,,[],
copier-8.3.0-py3-none-any.whl,pydantic,>=2.0.3,,[],
copier-8.3.0-py3-none-any.whl,pygments,>=2.7.1,,[],
copier-8.3.0-py3-none-any.whl,pyyaml,>=5.3.1,,[],
copier-8.3.0-py3-none-any.whl,pyyaml-include,>=1.2,,[],
copier-8.3.0-py3-none-any.whl,questionary,>=1.8.1,,[],
copier-8.3.0-py3-none-any.whl,typing-extensions,"<5.0.0,>=3.7.4",,[],"python_version < ""3.9"""
coverage-7.3.1-cp311-cp311-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl,tomli,,,[],"python_full_version <= ""3.11.0a6"" and extra == ""toml"""
cruft-2.15.0-py3-none-any.whl,click,>=7.1.2,,[],
cruft-2.15.0-py3-none-any.whl,cookiecutter,>=1.7,,[],
cruft-2.15.0-py3-none-any.whl,gitpython,>=3.0,,[],
cruft-2.15.0-py3-none-any.whl,importlib-metadata,"<5.0.0,>=2.0.0",,[],"python_version < ""3.8"""
cruft-2.15.0-py3-none-any.whl,toml,>=0.10,,[],"python_version < ""3.11"" and extra == ""pyproject"""
cruft-2.15.0-py3-none-any.whl,typer,>=0.4.0,,[],
csvkit-1.1.1-py2.py3-none-any.whl,agate,>=1.6.1,,[],
csvkit-1.1.1-py2.py3-none-any.whl,agate-dbf,>=0.2.2,,[],
csvkit-1.1.1-py2.py3-none-any.whl,agate-excel,>=0.2.2,,[],
csvkit-1.1.1-py2.py3-none-any.whl,agate-sql,>=0.5.3,,[],
csvkit-1.1.1-py2.py3-none-any.whl,coverage,>=4.4.2,,[],"extra == ""test"""
csvkit-1.1.1-py2.py3-none-any.whl,pytest,,,[],"extra == ""test"""
csvkit-1.1.1-py2.py3-none-any.whl,pytest-cov,,,[],"extra == ""test"""
csvkit-1.1.1-py2.py3-none-any.whl,sphinx,>=1.0.7,,[],"extra == ""docs"""
csvkit-1.1.1-py2.py3-none-any.whl,sphinx-rtd-theme,,,[],"extra == ""docs"""
databricks_cli-0.8.7-py3-none-any.whl,click,>=6.7,,[],
databricks_cli-0.8.7-py3-none-any.whl,configparser,>=0.3.5,,[],
databricks_cli-0.8.7-py3-none-any.whl,requests,>=2.17.3,,[],
databricks_cli-0.8.7-py3-none-any.whl,six,>=1.10.0,,[],
databricks_cli-0.8.7-py3-none-any.whl,tabulate,>=0.7.7,,[],
doit-0.36.0-py3-none-any.whl,cloudpickle,,,[],
doit-0.36.0-py3-none-any.whl,importlib-metadata,>=4.4,,[],
doit-0.36.0-py3-none-any.whl,tomli,,,[],"python_version < ""3.11"" and extra == ""toml"""
flake8-6.1.0-py2.py3-none-any.whl,mccabe,"<0.8.0,>=0.7.0",,[],
flake8-6.1.0-py2.py3-none-any.whl,pycodestyle,"<2.12.0,>=2.11.0",,[],
flake8-6.1.0-py2.py3-none-any.whl,pyflakes,"<3.2.0,>=3.1.0",,[],
httpie-3.2.2-py3-none-any.whl,Jinja2,,,[],"extra == ""dev"""
httpie-3.2.2-py3-none-any.whl,Pygments,>=2.5.2,,[],
httpie-3.2.2-py3-none-any.whl,charset-normalizer,>=2.0.0,,[],
httpie-3.2.2-py3-none-any.whl,colorama,>=0.2.4,,[],"sys_platform == ""win32"""
httpie-3.2.2-py3-none-any.whl,defusedxml,>=0.6.0,,[],
httpie-3.2.2-py3-none-any.whl,flake8,,,[],"extra == ""dev"""
httpie-3.2.2-py3-none-any.whl,flake8-comprehensions,,,[],"extra == ""dev"""
httpie-3.2.2-py3-none-any.whl,flake8-deprecated,,,[],"extra == ""dev"""
httpie-3.2.2-py3-none-any.whl,flake8-mutable,,,[],"extra == ""dev"""
httpie-3.2.2-py3-none-any.whl,flake8-tuple,,,[],"extra == ""dev"""
httpie-3.2.2-py3-none-any.whl,importlib-metadata,>=1.4.0,,[],"python_version < ""3.8"""
httpie-3.2.2-py3-none-any.whl,multidict,>=4.7.0,,[],
httpie-3.2.2-py3-none-any.whl,pip,,,[],
httpie-3.2.2-py3-none-any.whl,pyopenssl,,,[],"extra == ""dev"""
httpie-3.2.2-py3-none-any.whl,pytest,,,[],"extra == ""dev"""
httpie-3.2.2-py3-none-any.whl,pytest,,,[],"extra == ""test"""
httpie-3.2.2-py3-none-any.whl,pytest-cov,,,[],"extra == ""dev"""
httpie-3.2.2-py3-none-any.whl,pytest-httpbin,>=0.0.6,,[],"extra == ""dev"""
httpie-3.2.2-py3-none-any.whl,pytest-httpbin,>=0.0.6,,[],"extra == ""test"""
httpie-3.2.2-py3-none-any.whl,pytest-lazy-fixture,>=0.0.6,,[],"extra == ""dev"""
httpie-3.2.2-py3-none-any.whl,pytest-lazy-fixture,>=0.0.6,,[],"extra == ""test"""
httpie-3.2.2-py3-none-any.whl,pytest-mock,,,[],"extra == ""dev"""
