name,specifier,url,extras,marker
build,"<0.11.0,>=0.10.0",,[],
cachecontrol,"<0.14.0,>=0.13.0",,"[""filecache""]",
cleo,"<3.0.0,>=2.0.0",,[],
crashtest,"<0.5.0,>=0.4.1",,[],
dulwich,"<0.22.0,>=0.21.2",,[],
importlib-metadata,>=4.4,,[],"python_version < ""3.10"""
installer,"<0.8.0,>=0.7.0",,[],
jsonschema,"<4.18.0,>=4.10.0",,[],
keyring,"<25.0.0,>=24.0.0",,[],
packaging,>=20.4,,[],
pexpect,"<5.0.0,>=4.7.0",,[],
pkginfo,"<2.0.0,>=1.9.4",,[],
platformdirs,"<4.0.0,>=3.0.0",,[],
poetry-core,==1.7.0,,[],
poetry-plugin-export,"<2.0.0,>=1.5.0",,[],
pyproject-hooks,"<2.0.0,>=1.0.0",,[],
requests,"<3.0,>=2.26",,[],
requests-toolbelt,"<2,>=0.9.1",,[],
shellingham,"<2.0,>=1.5",,[],
tomli,"<3.0.0,>=2.0.1",,[],"python_version < ""3.11"""
tomlkit,"<1.0.0,>=0.11.4",,[],
trove-classifiers,>=2022.5.19,,[],
virtualenv,"<21.0.0,>=20.22.0",,[],
xattr,"<0.11.0,>=0.10.0",,[],"sys_platform == ""darwin"""
